SOPHIE.2018-10-04T04:39:51.694_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2018-10-04T04:30:48.522    	
SOPHIE.2019-03-21T21:26:23.541_ccf_K5_A.fits   	BD+700503             	STAR,SKY,K2          	2019-03-21T21:17:18.820    	
SOPHIE.2018-12-05T02:58:43.944_ccf_K5_A.fits   	BD+700503             	STAR,SKY,K2          	2018-12-05T02:49:04.975    	
SOPHIE.2018-05-04T21:34:01.303_ccf_K5_A.fits   	BD+700503             	STAR,SKY,K2          	2018-05-04T21:16:56.476    	
SOPHIE.2019-01-15T00:55:26.111_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2019-01-15T00:21:44.895    	
SOPHIE.2021-11-20T03:01:08.367_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2021-11-20T02:47:20.830    	
SOPHIE.2021-11-14T04:52:50.148_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2021-11-14T04:43:17.417    	
SOPHIE.2018-12-18T04:46:57.371_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2018-12-18T03:28:19.565    	
SOPHIE.2019-12-04T03:32:05.368_ccf_K5_A.fits   	BD+700503             	STAR,SKY,K2          	2019-12-04T03:09:50.663    	
SOPHIE.2018-11-05T04:05:13.111_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2018-11-05T03:49:02.920    	
SOPHIE.2019-03-08T00:10:30.298_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2019-03-07T23:55:50.356    	
SOPHIE.2019-02-15T00:23:31.389_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2019-02-15T00:09:38.265    	
SOPHIE.2018-11-18T05:11:24.248_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2018-11-18T04:49:20.041    	
SOPHIE.2019-01-14T01:49:57.987_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2019-01-14T01:40:20.029    	
SOPHIE.2018-11-26T03:51:03.549_ccf_K5_A.fits	BD+700503             	STAR,SKY,K2          	2018-11-26T03:30:41.902    	
