SOPHIE.2018-11-28T21:27:00.345_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2018-11-28T21:23:39.700    	
SOPHIE.2018-12-04T21:06:06.470_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2018-12-04T21:02:46.119    	
SOPHIE.2018-09-09T03:24:14.309_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2018-09-09T03:20:10.990    	
SOPHIE.2019-10-04T03:17:14.221_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2019-10-04T03:11:50.242    	
SOPHIE.2019-12-04T22:40:19.987_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-12-04T22:34:20.934    	
SOPHIE.2019-09-12T00:24:55.628_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-09-12T00:21:30.056    	
SOPHIE.2019-10-01T01:47:06.963_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-10-01T01:43:43.753    	
SOPHIE.2019-01-13T19:12:01.899_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-01-13T19:01:39.436    	
SOPHIE.2021-10-22T23:07:16.989_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2021-10-22T23:03:23.734    	
SOPHIE.2019-09-07T01:47:43.863_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2019-09-07T01:41:42.901    	
SOPHIE.2018-10-14T01:47:18.978_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2018-10-14T01:43:57.633    	
SOPHIE.2020-11-05T01:52:47.806_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-11-05T01:47:58.383    	
SOPHIE.2020-12-22T19:44:42.504_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-12-22T19:41:08.570    	
SOPHIE.2019-09-28T01:00:36.313_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-09-28T00:53:37.675    	
SOPHIE.2018-09-07T03:37:00.412_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2018-09-07T03:31:04.320    	
SOPHIE.2019-10-13T23:32:40.481_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-10-13T23:29:34.012    	
SOPHIE.2020-09-30T02:22:00.990_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-09-30T02:16:21.084    	
SOPHIE.2020-11-12T23:56:41.868_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-11-12T23:47:00.484    	
SOPHIE.2019-01-12T19:17:56.413_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-01-12T19:07:33.009    	
SOPHIE.2019-11-08T20:47:07.075_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2019-11-08T20:38:17.387    	
SOPHIE.2020-01-29T20:13:33.425_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-01-29T20:07:11.354    	
SOPHIE.2019-12-08T18:30:46.045_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-12-08T18:22:13.504    	
SOPHIE.2021-11-20T23:33:12.244_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2021-11-20T23:28:52.553    	
SOPHIE.2019-12-02T20:41:16.433_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2019-12-02T20:35:17.681    	
SOPHIE.2019-10-06T00:37:35.694_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2019-10-06T00:32:54.144    	
SOPHIE.2020-08-08T03:00:36.355_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2020-08-08T02:56:03.925    	
SOPHIE.2018-10-09T00:22:00.901_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2018-10-09T00:19:29.737    	
SOPHIE.2019-12-23T21:11:29.529_ccf_G2_A.fits   	HD17820               	STAR,SKY,G5          	2019-12-23T21:04:06.477    	
SOPHIE.2018-03-06T19:11:45.280_ccf_G2_A.fits	HD17820               	STAR,SKY,G5          	2018-03-06T19:03:35.366    	
