SOPHIE.2020-08-07T01:24:09.536_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-08-07T01:00:33.788    	
SOPHIE.2020-02-22T18:42:04.156_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-22T18:16:44.001    	
SOPHIE.2020-02-10T19:07:54.666_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-10T18:50:55.563    	
SOPHIE.2020-02-03T18:19:44.862_ccf_K5_A.fits   	HD207897              	STAR,FP,K5           	2020-02-03T17:54:25.929    	
SOPHIE.2020-01-28T21:16:44.907_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-28T20:51:22.655    	
SOPHIE.2020-01-22T21:25:48.986_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-22T21:09:15.278    	
SOPHIE.2020-01-31T18:17:06.914_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-31T17:51:49.641    	
SOPHIE.2020-02-21T18:52:26.631_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-21T18:27:06.852    	
SOPHIE.2020-02-19T18:44:53.370_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-19T18:19:34.831    	
SOPHIE.2020-01-26T19:23:51.120_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-26T19:03:29.860    	
SOPHIE.2020-01-13T19:31:26.039_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-13T19:11:27.814    	
SOPHIE.2020-02-14T18:21:22.519_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-14T17:56:01.457    	
SOPHIE.2020-01-30T19:42:03.652_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-30T19:16:47.636    	
SOPHIE.2020-02-05T19:11:48.167_ccf_K5_A.fits   	HD207897              	STAR,FP,K5           	2020-02-05T18:54:49.386    	
SOPHIE.2020-01-29T19:58:56.045_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-01-29T19:33:33.388    	
SOPHIE.2020-02-03T04:38:02.212_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-03T04:12:43.531    	
SOPHIE.2020-02-08T18:36:35.013_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-08T18:19:34.978    	
SOPHIE.2020-02-23T18:45:54.038_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-23T18:20:34.592    	
SOPHIE.2020-02-15T18:21:57.607_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-15T17:56:37.477    	
SOPHIE.2020-02-06T19:14:43.750_ccf_K5_A.fits   	HD207897              	STAR,FP,K5           	2020-02-06T18:57:43.839    	
SOPHIE.2020-02-01T18:16:21.650_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-01T17:51:04.325    	
SOPHIE.2020-02-20T18:41:34.679_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-20T18:16:16.030    	
SOPHIE.2020-02-12T18:20:56.359_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-12T18:03:56.293    	
SOPHIE.2020-02-18T19:17:05.245_ccf_K5_A.fits	HD207897              	STAR,FP,K5           	2020-02-18T18:51:46.797    	
