SOPHIE.2019-09-24T22:28:49.339_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-09-24T22:20:56.036    	
SOPHIE.2019-12-09T19:22:27.220_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-12-09T19:14:12.716    	
SOPHIE.2018-09-08T23:30:34.441_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-09-08T23:26:37.510    	
SOPHIE.2019-10-04T23:28:09.543_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-10-04T23:17:17.793    	
SOPHIE.2020-01-28T18:05:20.630_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-01-28T18:01:04.479    	
SOPHIE.2018-11-04T20:48:36.885_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-11-04T20:44:01.345    	
SOPHIE.2021-06-27T02:20:53.107_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2021-06-27T02:15:25.855    	
SOPHIE.2019-10-01T01:18:21.924_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-10-01T01:14:22.412    	
SOPHIE.2019-07-29T01:33:50.189_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-07-29T01:23:20.344    	
SOPHIE.2020-01-03T19:58:33.646_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-01-03T19:43:30.081    	
SOPHIE.2019-09-08T22:46:49.910_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-09-08T22:38:05.083    	
SOPHIE.2021-12-21T18:16:00.886_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2021-12-21T18:10:15.708    	
SOPHIE.2021-12-21T19:07:18.065_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2021-12-21T18:59:40.033    	
SOPHIE.2020-08-02T03:18:27.241_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-08-02T03:13:07.368    	
SOPHIE.2020-10-04T21:29:06.931_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-10-04T21:06:11.208    	
SOPHIE.2020-07-18T01:47:13.165_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2020-07-18T01:41:49.251    	
SOPHIE.2021-11-17T20:25:10.620_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2021-11-17T20:20:04.567    	
SOPHIE.2020-01-13T19:06:32.415_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-01-13T18:58:26.654    	
SOPHIE.2021-12-10T18:47:57.200_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2021-12-10T18:38:41.467    	
SOPHIE.2021-11-04T21:42:30.708_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2021-11-04T21:34:26.566    	
SOPHIE.2020-09-21T23:47:55.344_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2020-09-21T23:39:43.261    	
SOPHIE.2019-10-02T23:50:44.208_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-10-02T23:30:20.383    	
SOPHIE.2019-01-06T18:57:35.775_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-01-06T18:49:11.467    	
SOPHIE.2018-10-02T22:09:15.467_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-10-02T22:01:19.931    	
SOPHIE.2021-12-11T18:27:40.938_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2021-12-11T18:17:49.346    	
SOPHIE.2018-12-01T19:33:54.754_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-12-01T19:29:40.156    	
SOPHIE.2020-09-29T02:29:33.435_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-09-29T02:22:41.589    	
SOPHIE.2019-12-06T20:04:37.946_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2019-12-06T20:00:08.475    	
SOPHIE.2020-12-16T18:24:28.585_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-12-16T18:19:52.137    	
SOPHIE.2020-07-25T00:34:21.073_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2020-07-25T00:29:35.836    	
SOPHIE.2021-11-11T18:31:38.519_ccf_G2_A.fits   	HD224016              	STAR,SKY,G5          	2021-11-11T18:27:14.929    	
SOPHIE.2021-11-11T18:31:38.519_newccf_F0_A.fits	HD224016              	STAR,SKY,G5          	2021-11-11T18:27:14.929    	
SOPHIE.2018-01-23T18:01:56.742_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-01-23T17:53:56.525    	
SOPHIE.2019-09-26T23:03:42.484_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2019-09-26T22:58:36.774    	
SOPHIE.2018-06-19T01:39:55.685_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-06-19T01:39:24.335    	
SOPHIE.2018-06-19T01:48:14.828_ccf_G2_A.fits	HD224016              	STAR,SKY,G5          	2018-06-19T01:40:51.526    	
