SOPHIE.2018-03-07T23:54:26.424_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-03-07T23:45:18.112    	
SOPHIE.2020-03-09T22:32:16.427_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-03-09T22:21:55.091    	
SOPHIE.2020-03-03T23:51:49.216_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-03T23:41:34.167    	
SOPHIE.2020-11-27T02:52:18.650_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-27T02:41:53.877    	
SOPHIE.2018-11-29T04:26:04.933_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-11-29T04:15:43.608    	
SOPHIE.2021-05-14T20:15:16.764_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-14T20:04:51.129    	
SOPHIE.2020-01-05T01:17:47.699_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-05T01:07:43.667    	
SOPHIE.2018-12-05T05:20:36.294_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-12-05T05:10:14.778    	
SOPHIE.2019-12-11T02:47:18.748_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-12-11T02:37:16.913    	
SOPHIE.2018-05-04T23:03:07.768_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-05-04T22:53:13.471    	
SOPHIE.2019-01-15T03:49:56.939_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-15T03:39:37.245    	
SOPHIE.2019-03-13T22:33:35.001_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-13T22:23:31.931    	
SOPHIE.2020-02-10T21:20:37.765_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-10T21:10:19.307    	
SOPHIE.2019-05-28T20:35:55.997_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-28T20:26:01.955    	
SOPHIE.2018-04-25T20:57:54.915_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-04-25T20:47:46.625    	
