SOPHIE.2020-09-28T04:11:50.539_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-09-28T03:53:49.628    	
SOPHIE.2021-12-14T23:03:47.391_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-12-14T22:54:06.783    	
SOPHIE.2020-11-15T02:08:23.626_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-11-15T01:56:52.784    	
SOPHIE.2021-05-07T20:50:25.064_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-05-07T20:33:21.879    	
SOPHIE.2020-12-14T02:41:06.149_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-12-14T02:32:06.208    	
SOPHIE.2020-10-27T02:53:58.296_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-27T02:35:21.248    	
SOPHIE.2021-03-04T23:51:29.549_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-03-04T23:34:32.728    	
SOPHIE.2021-03-31T21:50:23.886_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-03-31T21:33:51.954    	
SOPHIE.2020-11-14T03:13:15.928_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-11-14T02:44:55.939    	
SOPHIE.2020-09-19T04:09:24.066_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-09-19T03:51:55.977    	
SOPHIE.2021-12-14T00:15:53.534_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-12-14T00:06:52.782    	
SOPHIE.2020-09-21T03:57:15.754_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-09-21T03:40:41.086    	
SOPHIE.2020-11-22T01:37:06.345_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-11-22T01:26:27.593    	
SOPHIE.2021-05-13T20:47:43.933_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-05-13T20:30:39.473    	
SOPHIE.2020-12-10T23:54:04.113_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-12-10T23:44:12.212    	
SOPHIE.2020-10-18T02:32:38.140_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-18T02:21:09.554    	
SOPHIE.2020-10-18T04:36:45.321_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-18T04:22:27.084    	
SOPHIE.2020-12-23T00:01:44.090_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-12-22T23:39:39.517    	
SOPHIE.2021-03-07T22:33:33.895_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-03-07T22:16:40.925    	
SOPHIE.2020-11-29T03:28:46.803_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-11-29T03:20:34.867    	
SOPHIE.2020-11-19T05:04:52.327_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-11-19T04:47:49.063    	
SOPHIE.2020-09-14T03:59:01.901_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-09-14T03:49:08.293    	
SOPHIE.2020-09-14T03:59:01.901_newccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-09-14T03:49:08.293    	
SOPHIE.2021-03-29T19:13:36.894_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-03-29T19:03:03.239    	
SOPHIE.2021-02-02T23:15:45.087_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-02-02T23:06:39.442    	
SOPHIE.2021-03-30T21:07:45.035_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-03-30T20:58:54.397    	
SOPHIE.2020-10-19T03:35:14.838_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-10-19T03:24:20.708    	
SOPHIE.2021-01-30T22:52:03.286_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-01-30T22:36:31.541    	
SOPHIE.2020-10-28T04:23:35.634_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-28T04:00:07.125    	
SOPHIE.2021-01-29T23:34:17.966_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-01-29T23:17:31.833    	
SOPHIE.2021-10-17T04:29:05.043_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-10-17T04:19:29.209    	
SOPHIE.2021-02-02T02:00:16.213_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-02-02T01:44:56.112    	
SOPHIE.2020-11-29T23:54:55.248_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-11-29T23:44:31.387    	
SOPHIE.2020-10-24T03:20:47.707_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-24T03:06:09.271    	
SOPHIE.2021-04-23T19:53:45.732_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-04-23T19:36:57.391    	
SOPHIE.2021-05-02T20:22:28.177_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-05-02T20:04:07.295    	
SOPHIE.2021-05-02T20:22:28.177_newccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-05-02T20:04:07.295    	
SOPHIE.2020-12-01T01:46:01.911_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-12-01T01:29:13.659    	
SOPHIE.2020-10-25T03:15:35.138_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2020-10-25T03:02:44.539    	
SOPHIE.2021-11-09T03:37:46.455_ccf_G2_A.fits   	TOI1710               	STAR,SKY,G5          	2021-11-09T03:20:45.177    	
SOPHIE.2020-11-17T00:50:27.749_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-11-17T00:36:28.222    	
SOPHIE.2020-09-18T03:59:13.353_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2020-09-18T03:44:16.548    	
SOPHIE.2021-12-17T02:40:43.359_ccf_G2_A.fits	TOI1710               	STAR,SKY,G5          	2021-12-17T02:30:36.940    	
