SOPHIE.2020-11-26T17:14:01.252_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-11-26T17:05:49.036    	
SOPHIE.2021-08-18T22:43:23.738_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2021-08-18T22:32:59.967    	
SOPHIE.2020-09-15T19:32:47.295_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-09-15T19:22:18.078    	
SOPHIE.2021-08-12T23:23:40.511_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-08-12T23:14:07.607    	
SOPHIE.2020-08-20T20:37:09.010_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-08-20T20:30:38.428    	
SOPHIE.2020-08-20T20:37:09.010_newccf_G2_A.fits	TOI2134               	STAR,SKY,K5          	2020-08-20T20:30:38.428    	
SOPHIE.2021-09-27T18:57:49.703_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2021-09-27T18:52:01.023    	
SOPHIE.2021-06-27T00:41:20.772_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-06-27T00:29:52.216    	
SOPHIE.2020-09-18T19:43:27.062_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-09-18T19:12:39.844    	
SOPHIE.2021-10-14T18:35:21.075_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-10-14T18:28:34.147    	
SOPHIE.2021-07-27T00:28:27.262_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-07-27T00:17:57.262    	
SOPHIE.2020-09-20T21:38:18.362_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-09-20T21:18:20.451    	
SOPHIE.2021-08-29T20:26:19.218_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-08-29T20:11:08.702    	
SOPHIE.2021-07-11T01:18:01.633_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-07-11T01:10:20.399    	
