,autosamples,automin,automean,automax,factor
0,400,26.948853583184178,27.877910397517674,29.27731722506584,40
1,800,53.888189132330645,55.582177925379746,58.8338861149941,40
2,1200,80.02619360592254,83.31920627353543,88.26778389100139,40
3,1600,106.07477915753003,111.00537998031125,117.39378224384652,40
4,2000,132.5071153904552,138.67138955446018,146.50419822256336,40
5,2400,158.61329552754393,166.25855655076862,175.25370474410684,40
6,2800,184.92058063039502,193.9290939738652,203.874559748253,40
7,3200,209.8458779145682,221.20893127269855,232.5876848040892,40
8,3600,234.60079825826713,248.51768343472577,261.8977949079928,40
9,4000,259.5789584651525,275.69702156611817,291.1516551755165,40
10,4400,284.99467143177196,303.20563821599507,320.2817475886993,40
11,4800,310.2689490776017,330.757458193474,349.4518777166192,40
12,5200,336.14338614457597,358.3564672655222,378.4919419556168,40
13,5600,362.0929446543731,386.0319211576442,407.27692379187573,40
14,6000,389.27698008135604,413.7439347698258,436.0244377597349,40
15,6400,417.32257854936546,441.48210629984334,464.5227234733983,40
16,6800,443.9648662690867,468.9916706535364,492.76005530041004,40
17,7200,470.6880856878762,496.3925583999879,520.7534612171545,40
18,7600,496.8745014388314,523.9355321891295,549.1717153285173,40
19,8000,521.7973969522346,551.3798832377322,578.3944021144068,40
20,8400,547.5422428697576,578.8795814250122,607.3734557932733,40
21,8800,572.4192250503654,606.3088484495612,636.4410413092824,40
22,9200,597.756947356415,633.9435719183751,665.6088065350901,40
23,9600,622.5631699915242,661.6391212305083,694.8857039525632,40
24,10000,646.3837967069525,688.9992953235542,723.5668621895751,40
25,10400,670.03428106034,716.5558796704378,752.2555691660392,40
26,10800,695.3576833836629,744.3399387432,781.026930413354,40
27,11200,721.5421800297747,772.2412873398129,809.9090733347526,40
28,11600,747.3356844966638,800.1268862007538,838.3605708850474,40
29,12000,773.3788966591543,828.3722248279016,867.2702288488961,40
30,12400,799.3050737039166,856.3629253448842,895.9279149632492,40
31,12800,825.147878004503,884.072070606088,924.3663150943531,40
32,13200,850.0949864007553,911.7636195713592,953.2552880111917,40
33,13600,875.8929580507856,939.1331909890802,981.8638483565459,40
34,14000,901.6908518912536,966.6502849883925,1010.8472800766104,40
35,14400,925.6831032519534,994.017021004089,1040.0304176139043,40
36,14800,951.0283764363135,1021.6196233001813,1068.876274218843,40
37,15200,976.1305105359104,1049.1247920366077,1097.6117357310943,40
38,15600,1001.898187150653,1076.7103545847347,1126.5471981225437,40
39,16000,1026.7532422417003,1103.9388684819216,1155.5711110858308,40
40,16400,1051.7645846853359,1131.4935709770348,1184.7871288993244,40
41,16800,1076.6123348146418,1159.0026009121368,1214.1815568862098,40
42,17200,1101.2477487914423,1186.5901356255292,1243.252931085986,40
43,17600,1125.3723280975207,1214.0615832977305,1272.146094977751,40
44,18000,1149.0043667217426,1241.5508276260095,1300.8528322422649,40
45,18400,1172.894380660864,1268.9035338691244,1328.9955778093506,40
46,18800,1196.6592083094195,1296.1423857191628,1357.8193986325566,40
47,19200,1221.3241612507272,1323.597869207674,1386.7990365199855,40
48,19600,1246.6371618748603,1351.2816882453556,1415.8704989890648,40
49,20000,1271.4654154812365,1378.7926347577638,1445.0312256928962,40
50,20400,1296.0804797016024,1406.3693961161246,1473.8632908262086,40
51,20800,1321.499150538355,1433.926857358733,1502.3098786292703,40
52,21200,1348.025173569285,1461.408901646875,1530.615112529595,40
53,21600,1374.1982462476228,1488.902403943212,1558.9431744825822,40
54,22000,1401.241734534185,1516.4719261850137,1587.4560995562547,40
55,22400,1428.711791450812,1544.1991720899885,1615.9915693380667,40
56,22800,1456.977949921523,1572.137427466681,1644.1851124699199,40
57,23200,1483.3976406964118,1599.8691223915553,1672.7734319192527,40
58,23600,1507.7457429958647,1627.3009012992218,1701.4160532490753,40
59,24000,1532.052468663483,1654.7968060441758,1730.497025602802,40
60,24400,1556.228869826977,1682.2140130795622,1759.182208836313,40
61,24800,1580.9460195179217,1709.632957496424,1787.615180464298,40
62,25200,1606.4072383856578,1737.1781427431124,1816.512673769681,40
63,25600,1632.175721696237,1764.6752159780647,1845.6754596512656,40
64,26000,1657.1429408605352,1792.062735177947,1874.5942088050742,40
65,26400,1681.4936319356298,1819.3916363926455,1903.728935867551,40
66,26800,1705.2547604374697,1846.4004127975281,1932.2906633556067,40
67,27200,1729.7816000105527,1873.6395566375613,1961.425043459388,40
68,27600,1755.4411274102424,1901.1356959412944,1990.3522506869454,40
