SOPHIE.2021-10-21T19:19:59.717_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-10-21T18:50:27.194    	
SOPHIE.2021-08-12T21:30:18.907_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-08-12T21:07:53.127    	
SOPHIE.2018-03-27T01:45:56.646_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-03-27T01:17:02.554    	
SOPHIE.2018-09-02T20:03:14.862_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-09-02T19:50:20.886    	
SOPHIE.2018-09-05T20:55:41.149_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-09-05T20:37:18.060    	
SOPHIE.2018-04-23T01:54:42.133_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-04-23T01:34:08.737    	
SOPHIE.2018-02-22T03:42:17.501_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-02-22T03:06:44.461    	
SOPHIE.2018-02-22T03:42:17.501_newccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-02-22T03:06:44.461    	
SOPHIE.2018-02-26T04:54:19.501_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-02-26T03:52:17.869    	
SOPHIE.2018-02-26T04:54:19.501_newccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-02-26T03:52:17.869    	
SOPHIE.2021-09-11T21:36:45.161_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-09-11T21:10:26.439    	
SOPHIE.2021-06-25T23:41:40.210_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-06-25T23:19:02.317    	
SOPHIE.2021-10-15T18:47:34.791_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-10-15T18:26:23.631    	
SOPHIE.2021-04-02T03:00:03.613_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-04-02T02:43:03.850    	
SOPHIE.2018-06-17T01:47:42.330_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-06-17T01:31:16.481    	
SOPHIE.2018-09-04T20:08:43.406_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-09-04T19:50:45.603    	
SOPHIE.2018-05-12T01:27:44.643_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-05-12T01:04:00.767    	
SOPHIE.2021-06-27T22:54:10.982_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2021-06-27T22:39:02.206    	
SOPHIE.2018-03-28T01:38:39.552_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-03-28T01:19:00.165    	
SOPHIE.2019-05-30T20:57:15.763_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2019-05-30T20:38:10.843    	
SOPHIE.2018-09-03T20:10:03.037_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-09-03T19:52:05.540    	
SOPHIE.2021-08-13T21:25:00.706_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-08-13T21:06:51.115    	
SOPHIE.2018-04-24T22:46:10.365_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-04-24T22:26:22.396    	
SOPHIE.2018-03-30T02:11:38.374_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2018-03-30T01:51:31.008    	
SOPHIE.2018-03-24T01:10:20.547_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-03-24T00:52:41.878    	
SOPHIE.2019-05-06T22:15:47.347_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2019-05-06T21:55:35.171    	
SOPHIE.2021-05-08T23:10:58.903_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-05-08T22:51:04.042    	
SOPHIE.2021-08-31T20:26:45.883_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-08-31T20:09:09.436    	
SOPHIE.2020-07-24T20:48:36.109_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2020-07-24T20:32:39.309    	
SOPHIE.2018-10-12T18:47:04.235_ccf_G2_A.fits   	J165631               	STAR,SKY,G6          	2018-10-12T18:32:29.581    	
SOPHIE.2020-09-25T20:49:54.753_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2020-09-25T20:19:22.484    	
SOPHIE.2021-06-30T23:54:47.333_ccf_G2_A.fits	J165631               	STAR,SKY,G6          	2021-06-30T23:33:18.748    	
