SOPHIE.2021-01-28T20:06:04.403_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-01-28T19:55:42.679    	
SOPHIE.2021-01-28T20:06:04.403_newccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-01-28T19:55:42.679    	
SOPHIE.2021-10-22T01:06:39.699_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-22T00:47:59.576    	
SOPHIE.2021-12-14T20:56:23.667_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-12-14T20:46:51.194    	
SOPHIE.2020-11-14T23:01:48.938_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-11-14T22:55:03.329    	
SOPHIE.2021-10-14T00:06:36.637_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-13T23:53:05.476    	
SOPHIE.2021-11-13T21:51:29.273_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-11-13T21:35:19.162    	
SOPHIE.2020-12-13T23:35:05.057_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-12-13T23:11:06.589    	
SOPHIE.2020-10-26T23:21:06.145_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-10-26T23:11:14.023    	
SOPHIE.2021-02-25T19:07:12.024_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-02-25T18:57:53.778    	
SOPHIE.2021-03-04T19:32:51.017_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-03-04T19:12:34.118    	
SOPHIE.2021-10-14T22:59:13.568_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-14T22:46:43.345    	
SOPHIE.2020-11-20T00:58:58.477_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-11-20T00:43:35.963    	
SOPHIE.2021-12-13T20:32:03.479_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-12-13T20:21:36.902    	
SOPHIE.2021-12-19T23:32:09.464_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-19T23:18:15.686    	
SOPHIE.2020-09-21T02:50:31.379_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-09-21T02:40:46.346    	
SOPHIE.2020-11-22T00:30:40.348_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-11-22T00:24:38.257    	
SOPHIE.2021-08-28T02:38:17.219_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-08-28T02:18:52.535    	
SOPHIE.2021-11-08T02:50:12.548_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-11-08T02:29:51.117    	
SOPHIE.2021-12-21T19:25:58.018_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-21T19:13:38.621    	
SOPHIE.2021-02-03T19:25:27.007_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-02-03T19:18:58.875    	
SOPHIE.2021-10-22T23:45:50.484_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-22T23:33:27.441    	
SOPHIE.2021-08-30T03:19:19.125_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-08-30T02:59:09.145    	
